曾有確診或疑似2019冠狀病毒病個案的大廈名單 
曾有確診或疑似個案居住過的住宅大廈名單 
(註: 大廈會在報告日期起計保留在名單內 14天。) 
 
地區 大廈名單 相關確診/疑似個案編號 
灣仔 龍濤苑1座 3361 
葵青 美葵大廈 3362 
觀塘 寶珮苑寶珊閣 3363 
觀塘 寶珮苑寶珊閣 3364 
觀塘 寶珮苑寶珊閣 3365 
東區 新成中心C座 3366 
東區 興華(二)邨樂興樓 3367 
沙田 白田五區 3368 
沙田 隆亨邨賞心樓 3369 
北區 榮福中心2座 3370 
葵青 長安邨安濤樓 3371 
東區 明華大廈B座 3372 
油尖旺 樂富大廈 3373 
油尖旺 樂富大廈 3374 
深水埗 寶豐大廈  3375 
黃大仙 慈愛苑愛寧閣 3376 
元朗 朗屏邨珠屏樓 3377 
油尖旺 樂富大廈 3378 
黃大仙 彩虹邨錦雲樓 3379 
南區 深灣9號8座 3380 
南區 深灣9號8座 3381 
北區 祥華邨祥順樓 3382 
葵青 葵聯邨聯喜樓 3383 
灣仔 大觀樓 3384 
九龍城 德朗邨德瑞樓 3385 
屯門 悅湖山莊2座 3386 
黃大仙 彩雲(二)邨明麗樓 3386 
葵青 葵龍大廈 3387 
葵青 金運工業大廈 3387 
北區 馬尾下嶺咀 3388 
北區 昌盛苑昌靖閣 3389 
大埔 寶雅苑興和閣 3390 
屯門 南浪海灣2座 3391 
42 
 
地區 大廈名單 相關確診/疑似個案編號 
荃灣 梨木樹邨榮樹樓 3392 
荃灣 名逸居3座 3393 
沙田 雅景臺2座  3394 
屯門 兆軒苑順生閣 3395 
灣仔 禮頓道62號 3396 
東區 濱海大廈 3397 
東區 僑裕大廈 3398 
觀塘 觀塘花園大廈喜鵲樓 3399 
荃灣 爵悅庭南爵軒 3400 
深水埗 深水埗榮華樓 3401 
深水埗 石硤尾邨美映樓 3402 
深水埗 石硤尾邨美映樓 3403 
九龍城 沙浦道45號 3404 
黃大仙 竹園北邨松園樓 3405 
屯門 恒福花園7座 3406 
元朗 橫台山永寧里 3408 
大埔 宏福苑宏新閣 3409 
黃大仙 慈正邨正和樓 3410 
黃大仙 慈正邨正和樓 3411 
黃大仙 慈正邨正和樓 3412 
黃大仙 慈正邨正泰樓 3413 
黃大仙 慈正邨正泰樓 3414 
沙田 麗峰花園德苑C3座 3415 
黃大仙 慈正邨正德樓 3416 
沙田 玖瓏山傲瓏閣２座 3417 
九龍城 賈炳達道 61號 3418 
油尖旺 御金．國峯6座 3419 
九龍城 德朗邨德瑞樓 3420 
九龍城 偉恒昌新邨恒景閣B座 3421 
黃大仙 竹園南邨趣園樓 3422 
觀塘 彩霞邨彩月樓 3423 
九龍城 翔龍灣3座 3424 
九龍城 天鑄 1 座 3425 
黃大仙 慈正邨正和樓 3426 
43 
 
地區 大廈名單 相關確診/疑似個案編號 
黃大仙 慈正邨正泰樓 3427 
沙田 恆安邨恆月樓 3428 
沙田 禾輋邨豐和樓 3429 
沙田 麗峰花園明苑 C1座 3430 
沙田 麗峰花園明苑 C1座 3431 
沙田 水泉澳邨林泉樓 3431 
中西區 麗賢閣 3432 
觀塘 鯉魚門邨鯉興樓 3434 
九龍城 新泰大樓 3435 
黃大仙 彩虹邨錦雲樓 3436 
黃大仙 彩虹邨錦雲樓 3437 
黃大仙 彩虹邨錦雲樓 3438 
九龍城 偉恒昌新邨恒景閣B座 3439 
九龍城 富運大廈A座 3440 
沙田 錦豐苑錦蕙閣 3441 
屯門 新屯門中心9座 3442 
西貢 尚德邨尚智樓 3443 
沙田 烏溪沙村一巷 3444 
沙田 烏溪沙村一巷 3445 
沙田 新翠邨新芳樓 3446 
沙田 新翠邨新芳樓 3447 
沙田 新翠邨新芳樓 3448 
沙田 新翠邨新芳樓 3449 
觀塘 順安邨安逸樓 3450 
大埔 元嶺村 3451 
觀塘 觀塘花園大廈燕子樓 3452 
元朗 朗屏邨珠屏樓 3453 
離島 逸東邨清逸樓 3454 
觀塘 安達邨誠達樓 3455 
沙田 顯耀邨顯耀樓 3456 
元朗 嘉湖海逸酒店 3457 
西貢 健明邨健晴樓 3458 
離島 迎東邨迎悅樓 3459 
元朗 朗屏邨賀屏樓 3460 
44 
 
地區 大廈名單 相關確診/疑似個案編號 
屯門 大興邨興輝樓 3461 
屯門 欣田邨俊田樓 3463 
西貢 新寶城５座 3464 
深水埗 友興大廈 3465 
深水埗 大坑西新邨民樂樓 3466 
葵青 石籬(一)邨石逸樓高座 3467 
葵青 青華苑華璇閣 3468 
葵青 石籬(一)邨石逸樓高座 3469 
荃灣 福來邨永泰樓 3469 
葵青 石籬(二)邨石欣樓 3470 
葵青 青華苑華碧閣 3471 
葵青 維京科技商業中心B座 3472 
深水埗 福榮街71號 3473 
葵青 長發邨敬發樓  3474 
荃灣 象山邨秀山樓 3475 
荃灣 光明大廈 3476 
沙田 火炭村 3477 
屯門 澤豐花園澤民樓 3478 
沙田 新翠邨新芳樓  3479 
元朗 翠韻華庭2座 3480 
元朗 翠韻華庭2座 3481 
葵青 長安邨安濤樓 3482 
東區 小西灣邨瑞喜樓 3483 
東區 小西灣邨瑞喜樓 3484 
葵青 長青邨青松樓 3485 
東區 小西灣邨瑞喜樓 3486 
葵青 石籬(二)邨石偉樓 3487 
深水埗 常福大廈 3488 
深水埗 祥輝大廈 3489 
油尖旺 長旺大廈 3489 
沙田 恆安邨恆峰樓 3490 
葵青 葵涌邨碧葵樓 3491 
元朗 山貝村 3492 
元朗 柏雨花園16座 3493 
45 
 
地區 大廈名單 相關確診/疑似個案編號 
元朗 天恒邨恒翠樓 3493 
元朗 天耀(二)邨耀隆樓  3494 
東區 明華大廈B座  3495 
大埔 宏福苑宏新閣 3496 
中西區 怡林閣A座 3497 
屯門 大興邨興偉樓 3498 
沙田 富嘉花園3座 3499 
沙田 富嘉花園1座 3500 
黃家圍一台 104、105、106、107、
屯門 3501 
114、115 地下及 112-113 號  
深水埗 和豐大廈 3502 
北區 雞嶺村 3503 
大埔 康樂園康樂西路 3504 
黃大仙 慈安苑安欣閣 3505 
黃大仙 慈安苑安欣閣 3506 
九龍城 常康園 3507 
觀塘 寶珮苑寶瑤閣 3508 
觀塘 安泰大樓 3509 
北區 莆上村 3510 
葵青 長康邨康泰樓 3512 
 
  
46

77777777777777777777777777

 
曾有確診或疑似個案在自出現病徵前兩天起到訪過的大廈或兩宗或以上確診或疑似
個案在潛伏期內到訪過的大廈名單 
(註: 大廈會在個案最後到訪的日期起計保留在名單內 14天，有群組個案的大廈則以
最後到訪的日期起計保留在名單內 28天) 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
油尖旺 文英街26-28號  05/07/2020 1289, 1301, 1317, 
新發茶餐廳 1324, 1329, 1396, 
1438, 1449 
黃大仙 彩雲商場         07/07/2020 1361, 1397 
彩龍皇宮大酒樓 
沙田 禾輋廣場 金百滬 07/07/2020 1372, 1434 
沙田 瀝源商場        07/07/2020 1372, 1434 
富東閣海鮮酒家 
東區 城市花園商場  08/07/2020 1390, 1447, 1870 
（城市中心） 
元朗 宏豐大廈 09/07/2020 1428, 1482 
黃大仙 華懋工業大廈 09/07/2020 1635, 1642, 1738, 
1747, 1831, 1889, 
1990, 1987 
黃大仙 毓華里12-14號  10/07/2020 1358, 1359, 1702 
時代冰室 
西貢 東港城 壹匯中菜廳 10/07/2020 1453, 1590 
北區 深圳灣出入境管制 11/07/2020 1445, 2142 
站 
黃大仙 慈雲山中心      11/07/2020 1520, 2120 
森美奧厨房 
葵青 荔景紀律部隊宿舍 11/07/2020 1770, 1838, 1841, 
1842, 1862, 1912, 
1920, 1933, 1954 
葵青 新都會廣場 潮庭 11/07/2020 1770, 1838, 1841, 
1842, 1862, 1912, 
1920, 1933, 1954 
黃大仙 蒲明里 6、8、10、 12/07/2020 1310, 1311, 1312, 
12號及蒲惠里11號 1321, 1408, 1410, 
1591, 1659 
47 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
黃大仙 德望中學 12/07/2020 1375, 1429, 1437, 
1592 
深水埗 黃金商場        12/07/2020 1435, 1931, 1980 
潮福蒸氣火鍋 
黃大仙 毓華街42號 12/07/2020 1445, 1841 
黃大仙 萬年戲院大廈 12/07/2020 1507, 1508 
元朗 元朗廣場 12/07/2020 1540, 1712 
西貢 海傍街27號     12/07/2020 2147, 2427 
富雅海鮮酒家 
黃大仙 慈雲山中心      13/07/2020 1477, 1514, 1517, 
薀莎餐廳 1534, 1555, 1567, 
1569, 1572, 1666, 
1744, 1757, 1802, 
1819, 2187, 2636 
西貢 寶林商場 13/07/2020 1501, 1558 
灣仔 中國海外大廈 13/07/2020 1584, 1622 
屯門 山景商場 13/07/2020 1734, 2005 
黃大仙 鳳德商場        14/07/2020 1586, 1689, 1798 
稻香超級漁港 
黃大仙 嗇色園社會服務大 14/07/2020 1589, 1841 
樓 
觀塘 創紀之城 1期渣打 14/07/2020 1749, 1752 
中心 
葵青 青衣城1期 14/07/2020 1751, 1902 
觀塘 坪石邨商場      15/07/2020 1414, 1710, 1869, 
富港酒家 2094 
沙田 雲疊花園商場 15/07/2020 1497, 1694 
九龍城 播道醫院 15/07/2020 1730, 1786, 1896 
屯門 屯門市廣場      15/07/2020 1772, 1778 
稻成小館 
東區 協興工業大廈 15/07/2020 1878, 2212 
深水埗 福僑大樓 15/07/2020 1907, 1997 
觀塘 清水灣道8號    16/07/2020 1322, 1597, 1710, 
匯八坊 1869, 2094 
黃大仙 聖母醫院 16/07/2020 1331, 1815, 2187 
48 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
觀塘 清水灣道 8號匯八 16/07/2020 1394, 1523, 1624, 
坊  大家樂 1904, 2004 
觀塘 坪石邨玉石樓 16/07/2020 1597, 1904 
灣仔 灣仔政府大樓 16/07/2020 1653, 2039, 2042 
九龍城 寰宇殯儀館 16/07/2020 1693, 1713 
油尖旺 太子道西113號  16/07/2020 1724, 1799 
西記粥店 
油尖旺 長榮大廈 16/07/2020 1771, 2380 
黃大仙 慈雲山中心      17/07/2020 1365,1393, 1424, 
百匯軒 1425, 1515, 1538, 
1607,1662, 1666, 
2035, 2086, 2187 
黃大仙 慈雲山中心 中心點 17/07/2020 1686, 1936, 2160, 
2161 
觀塘 坪石邨商場 大快活 17/07/2020 1710, 1854, 1904, 
2094 
油尖旺 旺角政府合署 17/07/2020 1799, 1951 
荃灣 愉景新城 17/07/2020 1859, 2204 
元朗 形點 I       17/07/2020 1903, 1996 
Pizza Express 
深水埗 中國宏興大廈 17/07/2020 2018, 2169 
深水埗 九龍廣場 星藝廚坊 17/07/2020 2031, 2035 
黃大仙 慈雲山中心      18/07/2020 1425, 1430, 1440, 
翠河餐廳 1444, 1445, 1484, 
1519, 1531, 1532, 
1555, 1586, 1605, 
1744, 1756, 1841, 
1844, 2130, 2636, 
2187 
沙田 仁安醫院 18/07/2020 1483, 1584, 1848, 
2028 
黃大仙 慈雲山中心      18/07/2020 1491, 1699, 1744 
大快活 
九龍城 聖德肋撒醫院 18/07/2020 1513, 2243 
油尖旺 惠豐中心 18/07/2020 1542, 2000 
黃大仙 現崇山商場 彩晶軒 18/07/2020 1607, 1876 
49 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
油尖旺 雅蘭中心 稻香 18/07/2020 1632, 1652, 1765, 
1774, 1820, 1832, 
1931, 1975, 1978, 
2036,  2053, 2060, 
2072, 2089, 2136, 
2152, 2159, 2189, 
2255, 2260, 2273, 
2327, 2334, 2394, 
2409, 2412, 2486, 
2547, 2622, 2877, 
3163, 3476 
黃大仙 荷里活廣場 18/07/2020 1665, 1845, 2024, 
2139 
深水埗 西九龍法院大樓 B 18/07/2020 1672, 1864 
座 
黃大仙 雙鳳街街市 18/07/2020 1681, 1862 
屯門 華都商場 18/07/2020 1734, 2192 
油尖旺 安年大廈 九記打 18/07/2020 1739, 1839 
冷.小菜.粉麵 
油尖旺 始創中心 潮‧悅 18/07/2020 1768, 1962 
西貢 新都城中心2期 18/07/2020 1902, 1949 
黃大仙 鳳德商場 18/07/2020 1956, 1689, 1963, 
1773, 1868 
東區 長匯工業大廈 18/07/2020 1988, 2144 
西貢 日出康城第8期 18/07/2020 2071, 2206 
西貢 將軍澳廣場 太興 18/07/2020 2071, 2206 
油尖旺 上海街 13號 來多 19/07/2020 1783 
碗車仔麵 
觀塘 怡生工業中心 19/07/2020 1792 
觀塘 彩德商場 龍記餐廳 19/07/2020 1792 
沙田 好運中心 19/07/2020 1807 
沙田 村南道51號     19/07/2020 1807 
紅茶冰室 
沙田 沙田廣場        19/07/2020 1807 
譚仔三哥米線 
沙田 愉翠商場 一粥麵 19/07/2020 1807 
50 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
沙田 新貿中心A座 19/07/2020 1807 
灣仔 東超商業中心 19/07/2020 1807 
油尖旺 文遜大廈 19/07/2020 1833 
黃大仙 崇齡街19-21號 19/07/2020 1834 
觀塘 Megabox 竹虎京堂 19/07/2020 1856 
觀塘 淘大商場3期 19/07/2020 1856 
荃灣 兆和街16號     19/07/2020 1856 
全記點心專門店 
灣仔 賽馬會總部大樓 19/07/2020 1860 
元朗 形點 I 19/07/2020 1879 
觀塘 牛頭角公廁浴室 19/07/2020 1884 
黃大仙 彩雲商場 大快活 19/07/2020 1903 
深水埗 福華街157號 19/07/2020 1904 
油尖旺 香港喜來登酒店 19/07/2020 1910 
觀塘 宏利金融中心Ａ座 19/07/2020 1920 
沙田 隆亨社區中心 19/07/2020 1920 
灣仔 木蘭苑 金鑽名軒 19/07/2020 1925 
深水埗 海麗商場 19/07/2020 1928 
九龍城 民泰街7號      19/07/2020 1971 
印尼沙爹屋 
沙田 美林商場 大家樂 19/07/2020 1978 
沙田 頌安商場 大家樂 19/07/2020 1979 
葵青 青衣城 天丼 19/07/2020 1996 
深水埗 百老匯街73號   19/07/2020 2089 
京都薈 
元朗 元朗廣場 牛一 19/07/2020 2092 
九龍城 九龍城廣場 大快活 19/07/2020 2103 
屯門 山景商場 大家樂 19/07/2020 2155 
屯門 山景商場 雲貴軒米 19/07/2020 2155 
線專門店 
灣仔 莊士頓大樓 19/07/2020 2164 
北區 順欣花園 19/07/2020 2178 
北區 龍豐花園 唐記包點 19/07/2020 2178 
北區 龍琛路16號 19/07/2020 2179 
葵青 長發廣場 意樂餐廳 19/07/2020 2184 
51 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
深水埗 新北河大樓      19/07/2020 2186 
麥當勞 
中西區 太古廣場 Kokomi 19/07/2020 2193 
屯門 掃管笏村129號 19/07/2020 2226 
油尖旺 朗豪坊 美食廣場 19/07/2020 2236 
中西區 港鐵中環站 19/07/2020 2249 
荃灣 悅來坊 必勝客 19/07/2020 2263 
荃灣 荃灣千色匯II 19/07/2020 2263 
深水埗 大埔道 快樂大廈 19/07/2020 2269 
客家好棧 
東區 電氣道市政大廈 19/07/2020 2276 
屯門 海趣坊 稻香 19/07/2020 2288 
觀塘 合和大廈 19/07/2020 2308 
大埔 大埔超級城 19/07/2020 2357 
九龍城 紅磡廣場 19/07/2020 2360 
油尖旺 現時點 19/07/2020 2398 
九龍城 黃埔新天地第 5及6 19/07/2020 2494 
期 
屯門 蝴蝶廣場 太興 19/07/2020 2600 
元朗 教育路 麗聲冰室 19/07/2020 2600 
東區 昌明洋樓 19/07/2020 2768 
中西區 梁輝臺 19/07/2020 2787 
沙田 美林商場 海港燒鵝 19/07/2020 2789 
海鮮酒家 
大埔 東昌街2號 19/07/2020 2850 
Homeland 
油尖旺 K11人文購物藝術館 19/07/2020 2916 
元朗 同益大廈 19/07/2020 2961 
油尖旺 朗豪坊 19/07/2020 1297, 1641, 2008, 
2186 
黃大仙 彩雲商場 19/07/2020 1361, 1401, 1767, 
2379 
黃大仙 牛池灣市政大廈 19/07/2020 1371, 1388, 1389, 
1394, 1467, 1468, 
1523, 1597, 1671, 
52 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
1710, 1767, 1834, 
1854, 2094 
黃大仙 永發大廈 19/07/2020 1487, 1832, 1956, 
2380 
油尖旺 家樂坊 19/07/2020 1610, 1640, 1875, 
2027, 2186, 2652 
南區 東華三院賽馬會松 19/07/2020 1691, 1708, 1908 
朗安老綜合中心 
屯門 愛定商場 19/07/2020 1763, 1894, 2168 
九龍城 何文田廣場 19/07/2020 1780, 2476 
觀塘 成業工業大廈     19/07/2020 1792, 2011 
海潮食堂 
離島 東薈城 19/07/2020 1879, 2012 
西貢 北港濾水廠 19/07/2020 1949, 1976 
屯門 山景商場 一粥麵 19/07/2020 2005, 2155 
北區 粉嶺中心 翠河餐廳 19/07/2020 2053, 2072 
葵青 青衣市政大廈 19/07/2020 2137, 2648 
九龍城 啟朗苑 百份百餐廳 19/07/2020 2164, 2300 
元朗 利景樓 嘉麗園潮州 19/07/2020 2400, 2961 
粉麵餐廳 
東區 北角匯 20/07/2020 1888 
深水埗 冠奇大廈 阿明印尼 20/07/2020 1926 
餐廳 
深水埗 元州商場 金滿都越 20/07/2020 1927 
南餐廳 
深水埗 南廬大廈 20/07/2020 1927 
沙田 利安商場 20/07/2020 1932 
油尖旺 希爾頓大廈 20/07/2020 1945 
油尖旺 奧海城 1期 大家樂 20/07/2020 1979 
油尖旺 廣富大廈 旺角88 20/07/2020 1980 
西貢 尚德邨尚仁樓 20/07/2020 1983 
中西區 干諾道西118號 20/07/2020 2001 
沙田 好運中心 唐記包點 20/07/2020 2012 
荃灣 荃威花園商場 1期 20/07/2020 2024 
九龍城 黃埔花園 麥當勞 20/07/2020 2025 
53 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
深水埗 美孚新邨三期 20/07/2020 2042 
北區 天平邨天明樓 20/07/2020 2078 
北區 龍豐花園商場    20/07/2020 2078 
豐泰牛雜專家 
沙田 瀝源邨貴和樓 20/07/2020 2103 
屯門 屯門時代廣場北翼 20/07/2020 2153 
北區 新成路107號    20/07/2020 2157 
皇牌冰室 
九龍城 土木工程拓展署大 20/07/2020 2159 
樓 
荃灣 One Midtown 20/07/2020 2204 
黃大仙 黃大仙中心北館 20/07/2020 2214 
屯門 黃金海岸商場 20/07/2020 2226 
東區 太古坊1座 20/07/2020 2242 
深水埗 美孚新邨第四期 京 20/07/2020 2258 
都薈 
離島 機場警署 20/07/2020 2264 
荃灣 新界南總區警察總 20/07/2020 2264 
部 
九龍城 何文田廣場 明星海 20/07/2020 2282 
鮮燒鵝專門店 
屯門 金蘭閣 20/07/2020 2288 
元朗 雅珊園 德福海鮮酒 20/07/2020 2315 
家 
深水埗 港鐵南昌站 20/07/2020 2325 
北區 榮輝中心 20/07/2020 2357 
屯門 屯門碼頭 20/07/2020 2377 
屯門 新都大廈 20/07/2020 2377 
灣仔 稅務大樓 20/07/2020 2379 
觀塘 瑞其樓 20/07/2020 2380 
離島 東堤小築 20/07/2020 2411 
油尖旺 好望角大廈 麥當勞 20/07/2020 2476 
南區 置富南區廣場    20/07/2020 2485 
必勝客 
沙田 第一城站 20/07/2020 2491 
54 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
油尖旺 港晶中心 20/07/2020 2498 
葵青 大鴻輝(葵涌)中心 20/07/2020 2509 
黃大仙 萬廸廣場 20/07/2020 2572 
九龍城 侯王道25號 20/07/2020 2613 
油尖旺 長樂街26號 20/07/2020 2615 
油尖旺 凱豪商業中心    20/07/2020 2642 
譚仔雲南米線 
葵青 長青邨青槐樓 20/07/2020 2648 
屯門 遠東發展屯門大廈 20/07/2020 2649 
深水埗 青山道273號 20/07/2020 2652 
油尖旺 鑽石樓 新廣南餐室 20/07/2020 2681 
深水埗 秋創商業大廈 20/07/2020 2706 
油尖旺 皇家太平洋酒店 20/07/2020 2761 
觀塘 閩僑小學 20/07/2020 2767 
油尖旺 旺角中心第1座 20/07/2020 1315, 1512, 1845, 
2010 
黃大仙 毓華街58號 20/07/2020 1477, 1679, 2259 
油尖旺 旺角維景酒店    20/07/2020 1483, 1768, 1799, 
海港酒家 1906, 1919, 1951, 
2090, 2728 
深水埗 長沙灣政府合署 20/07/2020 1501, 1890, 2128 
黃大仙 錦安樓 20/07/2020 1519, 1521, 1539, 
2114, 2121, 2653 
黃大仙 新光中心 富臨皇宮 20/07/2020 1598, 2298 
油尖旺 嘉賓商業大廈 20/07/2020 1681, 1839, 2276 
黃大仙 富池徑1號 20/07/2020 1831, 2113 
元朗 合益街市 20/07/2020 1857, 2084 
沙田 頌安商場 20/07/2020 1906, 1979, 2430 
黃大仙 Mikiki 20/07/2020 1914, 2010 
黃大仙 啟德花園購物商場 20/07/2020 1962, 2010, 2275 
九龍城 晴朗商場 太子美食 20/07/2020 2109, 2110, 2164 
荃灣 悅來坊 肯德基 20/07/2020 2263, 2447 
油尖旺 誠興樓 新森林焗之 20/07/2020 2276, 2642 
專門店 
55 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
油尖旺 嘉齡樓 澳門咖喱王 20/07/2020 2276, 2642 
新鮮腩 
西貢 東港城 Mee… 20/07/2020 2494, 3016 
Lemongrass 
東區 樂融軒          21/07/2020 1998 
明星金閣海鮮酒家 
屯門 愛定商場 大快活 21/07/2020 2015 
屯門 愛定商場 大家樂 21/07/2020 2015 
屯門 愛定商場 彩晶軒 21/07/2020 2015 
油尖旺 新九龍廣場 21/07/2020 2016 
葵青 葵盛東商場 21/07/2020 2023 
九龍城 黃埔花園 肯德基 21/07/2020 2025 
中西區 東昌大廈 21/07/2020 2026 
灣仔 禮頓中心 21/07/2020 2026 
觀塘 鯉魚門廣場 大快活 21/07/2020 2030 
大埔 大埔超級城 Cafe 21/07/2020 2077 
Polanka 
大埔 匡智會總辦事處 21/07/2020 2077 
深水埗 香港城市大學中國 21/07/2020 2080 
銀行(香港)綜合樓 
城大食坊 
深水埗 香港城市大學楊建 21/07/2020 2080 
文學術樓 
元朗 元朗廣場 麥當勞 21/07/2020 2092 
元朗 嘉城大廈 21/07/2020 2092 
元朗 興發大樓 麥當勞 21/07/2020 2092 
深水埗 V Walk 21/07/2020 2111 
屯門 屯門時代廣場 越棧 21/07/2020 2119 
葵青 石籬商場(第1期) 21/07/2020 2127 
油尖旺 文華樓 蛇王如冰室 21/07/2020 2142 
屯門 雅都花園 21/07/2020 2177 
北區 金誠樓 麥當勞 21/07/2020 2180 
北區 海聯廣場 麥當勞 21/07/2020 2180 
北區 彩園廣場 麥當勞 21/07/2020 2180 
沙田 希爾頓中心 麥當勞 21/07/2020 2180 
56 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
沙田 沙田中心 麥當勞 21/07/2020 2180 
沙田 沙田商業中心 麥當 21/07/2020 2180 
勞 
沙田 置富第一城      21/07/2020 2180 
麥當勞 
大埔 太和廣場 麥當勞 21/07/2020 2180 
黃大仙 黃大仙中心 麥當勞 21/07/2020 2180 
油尖旺 白普理大廈 21/07/2020 2187 
屯門 黃金海岸商場    21/07/2020 2226 
太平洋咖啡 
屯門 黃金海岸商場    21/07/2020 2226 
麥當勞 
東區 友邦廣場 星巴克咖 21/07/2020 2236 
啡 
九龍城 香港嘉里酒店 21/07/2020 2244 
Bong– 意大利餐廳 
沙田 馬鞍山廣場 大快活 21/07/2020 2267 
深水埗 荔枝角道336號 21/07/2020 2292 
黃大仙 永利樓 翁記上海館 21/07/2020 2298 
深水埗 廣發唐樓 21/07/2020 2342 
北區 粉嶺名都商場 21/07/2020 2355 
北區 粉嶺名都商場    21/07/2020 2355 
大家樂 
中西區 卑路乍街125號 21/07/2020 2361 
西貢 港鐵寶琳站 21/07/2020 2369 
元朗 洪福商場 麥當勞 21/07/2020 2398 
東區 明報工業中心 B座 21/07/2020 2402 
油尖旺 港威大廈1座 21/07/2020 2433 
中西區 士美菲路街市及熟 21/07/2020 2531 
食中心 
中西區 百年大樓 21/07/2020 2531 
油尖旺 金雞廣場 21/07/2020 2551 
九龍城 黃埔天地百合苑商 21/07/2020 2642 
場  大家樂 
東區 愛蝶灣商場 21/07/2020 2657 
57 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
灣仔 經信商業大廈 21/07/2020 2658 
觀塘 淘大花園2期 21/07/2020 2681 
觀塘 喜鵲樓 祥榮茶冰廳 21/07/2020 2681 
觀塘 貴顯樓 譚仔雲南米 21/07/2020 2681 
線 
觀塘 德福廣場一期 美心 21/07/2020 2681 
Food2 
南區 華富(二)邨商場 21/07/2020 2713 
油尖旺 始創中心 21/07/2020 2717 
油尖旺 彌敦道748號 21/07/2020 2765 
中西區 金德樓 21/07/2020 2767 
灣仔 高主教書院小學部 21/07/2020 2767 
油尖旺 雅蘭中心 樂天皇朝 21/07/2020 2767 
灣仔 世貿中心 21/07/2020 2768 
觀塘 啟業邨啟盛樓 21/07/2020 2850 
油尖旺 德惠行 21/07/2020 2960 
元朗 錦田街市 21/07/2020 2960 
沙田 水泉澳廣場 21/07/2020 1294, 1382, 1384, 
1385, 2101 
黃大仙 慈雲山中心 大家樂 21/07/2020 1514, 1586, 1622, 
1756, 1917, 2122 
西貢 彩明商場 21/07/2020 1594, 2627 
西貢 TKO Spot 21/07/2020 1596, 1861, 1983, 
2066 
油尖旺 力寶太陽廣場 21/07/2020 1623, 1975, 2654 
黃大仙 廣發大廈 21/07/2020 1639, 1862, 2187 
屯門 屯門中央廣場     21/07/2020 1739, 1740, 1743, 
富臨酒家 1783, 1951, 1952, 
1988, 1993, 1998, 
2017, 2083, 2170, 
2280, 2308, 2315, 
2374, 2381, 2492, 
2685, 2763, 2875, 
2932, 3013, 3475 
屯門 友愛街市 21/07/2020 1763, 2015 
58 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
屯門 海趣坊 21/07/2020 1797, 2153 
元朗 勤業樓 21/07/2020 1858, 2315 
北區 粉嶺中心 21/07/2020 1975, 2053, 2357 
北區 上水廣場 21/07/2020 1989, 2157 
東區 英皇道625號 21/07/2020 2027, 2204 
屯門 屯門市廣場 21/07/2020 2153, 2192, 2226, 
2319 
屯門 良景廣場 21/07/2020 2319, 2707 
九龍城 年豐樓 李錦基越南 21/07/2020 2761, 2973 
餐廳 
中西區 聖嘉勒女書院 22/07/2020 2030 
離島 諾富特東薈城酒店 22/07/2020 2087 
中西區 國際金融中心商場 22/07/2020 2099 
Duck & Waffle 
九龍城 新城中心4座 22/07/2020 2099 
西貢 TKO Gateway Food 22/07/2020 2099 
Lane 
西貢 白沙灣112號 22/07/2020 2099 
Padstow 
Restaurant & Bar 
西貢 煜明苑焜明閣 22/07/2020 2099 
沙田 利達工業中心    22/07/2020 2099 
伙食工業 
沙田 威力工業中心 22/07/2020 2099 
沙田 海澄軒海景酒店 22/07/2020 2099 
沙田 新城市廣場 L.D.K. 22/07/2020 2099 
by Ufufu Café 
深水埗 金百盛中心 22/07/2020 2099 
灣仔 水星街 23號 NOC 22/07/2020 2099 
Coffee Co. 
油尖旺 帝京酒店 22/07/2020 2099 
油尖旺 砵蘭街383A號 22/07/2020 2099 
油尖旺 基隆街64號 22/07/2020 2099 
中西區 石板街酒店 22/07/2020 2109 
Gradini意大利餐廳 
59 
 
報告日期/      
相關確診/疑似個案編
地區 大廈名單 曾有涉及個案 
號 
最後到訪的日期 
