曾有確診或疑似2019冠狀病毒病個案的大廈名單 
曾有確診或疑似個案居住過的住宅大廈名單 
(註: 大廈會在報告日期起計保留在名單內 14天。) 
 
地區 大廈名單 相關確診/疑似個案編號 
觀塘 油塘邨華塘樓 2030 
觀塘 曉光閣 2031 
黃大仙 彩虹邨翠瓊樓 2032 
深水埗 南昌邨昌謙樓 2033 
黃大仙 慈民邨民泰樓 2034 
黃大仙 慈樂邨樂仁樓 2035 
沙田 顯耀邨顯耀樓 2036 
九龍城 福運大廈 2037 
灣仔 禮加大樓 2038 
深水埗 麗閣邨麗芙樓 2039 
荃灣 海韻花園3座 2040 
葵青 長亨邨亨麗樓 2041 
深水埗 美孚新邨第6期 2042 
深水埗 麗閣邨麗芙樓 2043 
黃大仙 彩雲邨白鳳樓 2044 
大埔 大埔中心1座 2045 
元朗 嘉湖山莊翠湖居1座 2046 
油尖旺 最佳盛品酒店尖沙咀 2047 
黃大仙 慈民邨民裕樓 2048 
大埔 新峰花園19座 2049 
荃灣 石圍角邨石蓮樓 2050 
荃灣 海濱花園海豐閣 2051 
7 
 
地區 大廈名單 相關確診/疑似個案編號 
沙田 隆亨邨善心樓 2052 
北區 慧雯花園 2053 
葵青 葵涌邨合葵樓 2054 
黃大仙 鳳德邨黛鳳樓 2055 
深水埗 南昌街199號 2056 
深水埗 南昌街199號 鑽石樓 2057 
九龍城 海逸豪園3期12A座 2058 
九龍城 德朗邨德瑩樓 2060 
黃大仙 慈愛苑愛祥閣 2061 
東區 濱海大廈 2062 
葵青 長宏邨宏善樓 2063 
深水埗 營盤街130號 元安大廈 2064 
西貢 厚德邨德志樓 2065 
西貢 尚德邨尚義樓 2066 
大埔 塘面村 2067 
九龍城 德朗邨德琦樓 2068 
油尖旺 彌敦道240-252號 2069 
油尖旺 餘慶大廈 2070 
黃大仙 慈民邨民健樓 2071 
北區 慧雯花園 2072 
黃大仙 慈愛苑愛聰閣 2073 
西貢 厚德邨德志樓 2074 
沙田 新翠邨新儀樓 2075 
北區 慧雯花園 2077 
北區 龍豐花園A座 2078 
觀塘 翠屏北邨翠楣樓 2079 
黃大仙 慈民邨民裕樓 2080 
元朗 洪福邨洪盛樓 2083 
屯門 福亨村 2084 
屯門 新慶村 2085 
黃大仙 慈正邨正和樓 2086 
離島 富東邨東馬樓 2087 
離島 海堤灣畔1座 2088 
深水埗 美孚新邨1期23座 2089 
8 
 
地區 大廈名單 相關確診/疑似個案編號 
油尖旺 金勳大廈 2089 
大埔 大元邨泰樂樓 2090 
東區 海山樓 2091 
元朗 永泰樓 2092 
黃大仙 志蓮道5號 2093 
黃大仙 坪石邨金石樓 2094 
黃大仙 慈正邨正和樓 2098 
沙田 耀安邨耀平樓 2099 
油尖旺 寶來大廈 2100 
沙田 水泉澳邨林泉樓 2101 
黃大仙 竹園北邨桃園樓  2102 
觀塘 平田邨平真樓 2103 
黃大仙 竹園南邨趣園樓 2104 
黃大仙 竹園南邨趣園樓 2105 
葵青 長亨邨亨翠樓 2106 
黃大仙 慈樂邨樂旺樓 2107 
九龍城 黃埔花園棕櫚苑4期6座 2108 
九龍城 龍譽2B座 2109 
九龍城 龍譽2B座 2110 
南區 華富1邨華光樓 2111 
南區 華富邨華翠樓 2112 
觀塘 坪石邨金石樓 2113 
黃大仙 慈樂邨樂誠樓 2114 
九龍城  定安大廈E座 2115 
九龍城 黃埔花園紫荊苑11期 5座 2116 
黃大仙 竹園北邨橡園樓 2117 
屯門 大興邨興平樓 2119 
大埔 富亨邨亨昌樓 2120 
黃大仙 慈康邨康潤樓 2121 
黃大仙 慈康邨康秀樓 2122 
西貢 明德邨明道樓 2123 
觀塘 寶珮苑寶瑤閤 2124 
葵青 石籬(一)邨石俊樓高座 2125 
元朗 鳳池村 2126 
9 
 
地區 大廈名單 相關確診/疑似個案編號 
葵青 石籬(二)邨石欣樓 2127 
深水埗 荔枝角道338號 2128 
黃大仙 峻弦3座 2129 
九龍城 浩明雅苑 2131 
黃大仙 鳳德邨硃鳳樓 2132 
灣仔 堅尼地道88號A座 2133 
灣仔 箕璉坊32號 2134 
觀塘 順利邨利恆樓  2135 
沙田 美田邨美樂樓 2136 
葵青 美景花園10座 2137 
黃大仙 慈康邨康德樓 2138 
黃大仙 慈正邨正明樓 2139 
西貢 廣明苑廣賢閣 2140 
觀塘 油塘邨美塘樓 2141 
深水埗 北河街34號 2142 
油尖旺 漾日居1座 2143 
東區 東欣苑歡欣閣 2144 
九龍城 海逸豪園8座 2145 
沙田 錦龍苑龍悅樓 2146 
油尖旺 富榮花園15座  2147 
油尖旺 國強大厦 2148 
油尖旺 荔枝角道15-21號 2149 
沙田 錦豐苑錦薇閣 2150 
沙田 耀安邨耀和樓 2151 
九龍城 崇廉樓 2152 
屯門 建生邨康生樓 2153 
屯門 卓爾居3座 2154 
屯門 山景邨景樂樓 2155 
屯門 山景邨景美樓 2156 
北區 大元村 2157 
觀塘 觀塘晨星樓 2158 
沙田 新翠邨新月樓 2159 
黃大仙 慈樂邨樂旺樓 2160 
黃大仙 慈樂邨樂旺樓 2161 
10 
 
地區 大廈名單 相關確診/疑似個案編號 
元朗 加州花園紅花徑 2162 
西貢 明德邨明覺樓 2163 
觀塘 油美苑濤美閣 2164 
油尖旺 美麗都大廈 2165 
